0.366,-0.0018,-0.0018
0.367,0,0
0.368,0.0018,0.0018
0.369,0.0038,0.0038
0.37,0.0056,0.0056
0.371,0.0064,0.0064
0.372,0.0072,0.0072
0.373,0.0068,0.0068
0.374,0.0064,0.0064
0.375,0.0056,0.0056
0.376,0.004,0.004
0.377,0.002,0.002
0.378,0.0004,0.0004
0.379,-0.0016,-0.0016
0.38,-0.004,-0.004
0.381,-0.0052,-0.0052
0.382,-0.0064,-0.0064
0.383,-0.0072,-0.0072
0.384,-0.0072,-0.0072
0.385,-0.007,-0.007
0.386,-0.0062,-0.0062
0.387,-0.0044,-0.0044
0.388,-0.0032,-0.0032
0.389,-0.0008,-0.0008
0.39,0.001,0.001
0.391,0.003,0.003
0.392,0.0046,0.0046
0.393,0.006,0.006
0.394,0.007,0.007
0.395,0.0072,0.0072
0.396,0.0068,0.0068
0.397,0.0064,0.0064
0.398,0.0052,0.0052
0.399,0.0034,0.0034
0.4,0.0016,0.0016
0.401,-0.0006,-0.0006
0.402,-0.0024,-0.0024
0.403,-0.0042,-0.0042
0.404,-0.0058,-0.0058
0.405,-0.0068,-0.0068
0.406,-0.0072,-0.0072
0.407,-0.0072,-0.0072
0.408,-0.0068,-0.0068
0.409,-0.0054,-0.0054
0.41,-0.0038,-0.0038
0.411,-0.0018,-0.0018
0.412,0,0
0.413,0.0018,0.0018
0.414,0.0036,0.0036
0.415,0.0052,0.0052
0.416,0.0064,0.0064
0.417,0.007,0.007
0.418,0.007,0.007
0.419,0.0068,0.0068
0.42,0.0058,0.0058
0.421,0.0046,0.0046
0.422,0.0026,0.0026
0.423,0.001,0.001
0.424,-0.0012,-0.0012
0.425,-0.003,-0.003
0.426,-0.0048,-0.0048
0.427,-0.0064,-0.0064
0.428,-0.0072,-0.0072
0.429,-0.0076,-0.0076
0.43,-0.0072,-0.0072
0.431,-0.0062,-0.0062
0.432,-0.0048,-0.0048
0.433,-0.0034,-0.0034
0.434,-0.0012,-0.0012
0.435,0.0006,0.0006
0.436,0.003,0.003
0.437,0.0046,0.0046
0.438,0.0058,0.0058
0.439,0.0064,0.0064
0.44,0.0072,0.0072
0.441,0.007,0.007
0.442,0.006,0.006
0.443,0.0052,0.0052
0.444,0.0032,0.0032
0.445,0.0018,0.0018
0.446,0,0
0.447,-0.0022,-0.0022
0.448,-0.004,-0.004
0.449,-0.0056,-0.0056
0.45,-0.0066,-0.0066
0.451,-0.0072,-0.0072
0.452,-0.0072,-0.0072
0.453,-0.0064,-0.0064
0.454,-0.0058,-0.0058
0.455,-0.0042,-0.0042
0.456,-0.0024,-0.0024
0.457,-0.0006,-0.0006
0.458,0.0014,0.0014
0.459,0.0034,0.0034
0.46,0.0048,0.0048
0.461,0.0062,0.0062
0.462,0.0072,0.0072
0.463,0.007,0.007
0.464,0.0066,0.0066
0.465,0.0058,0.0058
0.466,0.0046,0.0046
0.467,0.003,0.003
0.468,0.0008,0.0008
0.469,-0.0008,-0.0008
0.47,-0.0026,-0.0026
0.471,-0.0046,-0.0046
0.472,-0.0058,-0.0058
0.473,-0.0068,-0.0068
0.474,-0.0076,-0.0076
0.475,-0.0072,-0.0072
0.476,-0.0064,-0.0064
0.477,-0.0052,-0.0052
0.478,-0.0036,-0.0036
0.479,-0.0018,-0.0018
0.48,0.0004,0.0004
0.481,0.0024,0.0024
0.482,0.0042,0.0042
0.483,0.0058,0.0058
0.484,0.0066,0.0066
0.485,0.0076,0.0076
0.486,0.007,0.007
0.487,0.0068,0.0068
0.488,0.0058,0.0058
0.489,0.0042,0.0042
0.49,0.0022,0.0022
0.491,0,0
0.492,-0.002,-0.002
0.493,-0.0038,-0.0038
0.494,-0.0054,-0.0054
0.495,-0.0064,-0.0064
0.496,-0.0076,-0.0076
0.497,-0.0074,-0.0074
0.498,-0.007,-0.007
0.499,-0.0058,-0.0058
0.5,-0.0048,-0.0048
0.501,-0.003,-0.003
0.502,-0.0006,-0.0006
0.503,0.0012,0.0012
0.504,0.0032,0.0032
0.505,0.0052,0.0052
0.506,0.0062,0.0062
0.507,0.0074,0.0074
0.508,0.007,0.007
0.509,0.0072,0.0072
0.51,0.0066,0.0066
0.511,0.0052,0.0052
0.512,0.0032,0.0032
0.513,0.001,0.001
0.514,-0.0008,-0.0008
